text,label
"URGENT!!! Click Here NOW to Verify Your Bank Account",1
"Meeting scheduled tomorrow at 10 AM in the conference room",0
"Your account will be suspended. Click this link to update.",1
"Hey, can you send me the report by end of day?",0
"FREE MONEY!!! Claim your $1000 prize now by clicking here.",1
"Don't forget to buy milk on your way back.",0
"Security alert: unusual login attempt. Verify here: http://bit.ly/xyz",1
"Here are the notes from yesterday's meeting.",0
"PayPal: Your payment was declined. Update billing info.",1
"Let's grab lunch later today.",0
"Amazon: Your order has been shipped. Track here.",0
"Amazon: Account locked. Please verify your identity.",1
"Netflix: Your subscription has expired. Renew immediately.",1
"Netflix: New movies added this week.",0
"Bank of America: Please review your recent transaction.",0
"Bank of America: Security check required. Login to confirm.",1
"Congratulations! You've won a new iPhone. Click to claim.",1
"Can we reschedule our call to next week?",0
"Invoice attached. Please remit payment immediately to our new bank account.",1
"Thanks for the coffee yesterday!",0
"You have 1 new voice message. Click to listen.",1
"Are we still on for Friday?",0
"Your password expires in 24 hours. Reset it here.",1
"I'll send the documents over shortly.",0
"Action Required: Verify your email address.",1
"The project deadline has been extended.",0
"You have been selected for a tax refund. Claim it here.",1
"Can you review the attached PR?",0
"Your Apple ID has been locked for security reasons.",1
"Happy birthday! Have a great day.",0
